Age,Gender,Tenure,Usage Frequency,Support Calls,Payment Delay,Total Spend,Last Interaction,Churn,Basic,Premium,Standard,Annual,Monthly,Quarterly
28,1,26,26,1,3,284,12,0,1,0,0,0,1,0
47,0,20,11,6,14,777,13,0,0,1,0,0,0,1
33,1,36,26,2,23,894,30,0,1,0,0,0,0,1
20,1,18,20,7,20,548,2,0,0,0,1,0,0,1
35,0,4,30,1,28,738,26,0,0,1,0,1,0,0
25,0,41,15,1,10,298,24,0,1,0,0,0,1,0
61,0,17,17,8,16,531,22,0,0,1,0,0,0,1
63,1,41,9,5,7,433,2,0,0,1,0,0,1,0
48,1,7,1,0,13,821,14,0,0,1,0,0,1,0
29,1,20,28,6,5,639,28,0,0,1,0,0,1,0
27,0,48,15,1,13,359,24,0,0,1,0,0,1,0
56,0,2,9,0,20,551,12,0,0,1,0,1,0,0
31,0,55,21,1,8,701,8,0,0,0,1,0,0,1
51,1,56,11,0,8,657,5,0,0,1,0,0,0,1
27,1,52,29,9,7,267,28,0,1,0,0,0,0,1
40,0,15,5,2,4,891,29,0,0,1,0,0,1,0
63,0,32,22,10,11,779,4,0,0,1,0,0,1,0
65,0,32,16,6,9,253,4,0,0,0,1,0,1,0
19,0,28,23,1,11,361,29,0,0,0,1,0,1,0
27,0,6,12,6,3,102,25,0,0,0,1,0,0,1
61,1,36,25,2,29,119,24,0,1,0,0,1,0,0
40,0,51,23,8,2,724,14,0,0,0,1,1,0,0
46,0,41,24,1,30,549,9,0,1,0,0,0,0,1
22,1,4,29,3,10,257,18,0,0,0,1,1,0,0
20,1,18,26,0,12,409,2,0,0,1,0,0,0,1
55,1,43,26,0,7,979,22,0,0,0,1,1,0,0
64,0,17,26,0,0,706,10,0,1,0,0,0,0,1
32,1,18,21,8,9,691,8,0,0,1,0,0,1,0
25,0,3,15,7,4,895,26,0,0,1,0,0,0,1
19,0,55,16,6,4,477,11,0,1,0,0,0,1,0
42,1,9,14,5,22,762,14,0,0,1,0,0,1,0
61,0,3,8,3,21,696,9,0,0,1,0,0,0,1
57,1,42,8,6,1,477,15,0,0,1,0,1,0,0
62,1,16,26,0,30,545,23,0,0,1,0,1,0,0
65,0,7,7,3,25,799,12,0,0,0,1,1,0,0
53,1,32,9,4,29,295,27,0,1,0,0,0,0,1
62,0,30,21,6,7,859,22,0,0,0,1,0,0,1
23,0,54,29,10,4,138,27,0,1,0,0,0,0,1
49,1,59,12,0,4,428,5,0,0,1,0,0,0,1
41,1,35,19,1,27,316,5,0,0,1,0,0,0,1
44,0,10,1,3,0,894,20,0,1,0,0,0,0,1
23,1,50,14,7,7,534,17,0,0,0,1,0,1,0
42,0,17,24,6,18,829,5,0,0,1,0,0,1,0
44,1,29,20,4,6,958,25,0,0,0,1,1,0,0
18,0,53,26,0,20,847,14,0,1,0,0,0,1,0
49,0,16,9,10,24,933,17,0,0,0,1,1,0,0
54,0,24,28,5,11,822,11,0,0,0,1,1,0,0
21,1,57,25,4,14,131,27,0,0,0,1,1,0,0
42,0,56,25,2,26,735,16,0,1,0,0,1,0,0
62,0,14,11,8,20,630,5,0,0,1,0,0,1,0
49,1,22,4,4,19,758,6,0,1,0,0,0,0,1
35,0,35,6,3,5,328,1,0,0,1,0,0,1,0
60,1,14,21,10,24,271,2,0,0,1,0,0,1,0
33,1,4,25,7,7,846,7,0,1,0,0,0,0,1
22,1,24,12,5,12,197,11,0,1,0,0,0,0,1
19,1,30,4,8,9,112,14,0,1,0,0,0,0,1
49,1,15,19,4,14,747,25,0,1,0,0,1,0,0
39,0,17,27,1,6,141,5,0,0,1,0,0,0,1
60,0,37,3,3,6,196,30,0,0,1,0,0,1,0
59,0,42,11,7,8,167,7,0,1,0,0,1,0,0
26,1,54,19,2,10,133,4,0,0,1,0,0,1,0
21,1,42,18,4,23,512,10,0,0,0,1,0,0,1
41,0,30,24,2,12,525,6,0,0,0,1,1,0,0
59,0,50,12,3,9,937,6,0,0,1,0,0,1,0
50,0,7,7,4,3,645,16,0,0,1,0,0,0,1
59,1,3,23,2,13,211,15,0,1,0,0,0,1,0
23,1,11,17,5,29,736,9,0,0,1,0,1,0,0
24,1,21,23,9,24,620,19,0,1,0,0,0,0,1
33,0,40,11,6,15,971,7,0,0,0,1,0,1,0
58,1,19,27,1,0,847,11,0,0,1,0,0,1,0
24,0,32,23,1,0,435,1,0,1,0,0,0,1,0
44,0,43,20,3,12,623,29,0,0,0,1,1,0,0
48,0,39,2,5,8,324,3,0,0,0,1,1,0,0
37,1,14,28,2,26,174,17,0,0,1,0,0,1,0
54,1,36,27,6,14,784,8,0,1,0,0,0,0,1
65,1,18,8,0,10,899,7,0,0,0,1,1,0,0
51,0,7,7,1,0,430,23,0,1,0,0,0,0,1
37,1,6,13,1,7,543,5,0,1,0,0,0,0,1
33,0,4,8,3,1,176,2,0,0,0,1,0,0,1
40,1,6,8,3,9,137,26,0,0,0,1,0,0,1
52,0,46,29,4,18,486,10,0,0,0,1,0,1,0
37,1,60,5,3,10,257,23,0,0,0,1,1,0,0
53,1,40,30,9,7,397,12,0,0,1,0,1,0,0
30,1,45,23,4,25,624,10,0,1,0,0,0,1,0
64,1,47,13,7,2,574,13,0,1,0,0,0,0,1
43,0,27,23,4,5,774,26,0,0,1,0,0,1,0
65,1,6,2,3,0,330,4,0,0,0,1,0,0,1
46,0,18,15,4,2,904,9,0,1,0,0,0,1,0
23,1,26,25,2,24,800,28,0,1,0,0,0,0,1
26,1,19,10,2,15,911,26,0,0,1,0,1,0,0
22,1,3,29,5,1,823,25,0,0,1,0,0,0,1
34,0,13,26,6,6,955,14,0,0,1,0,1,0,0
65,0,5,6,1,1,501,14,0,0,1,0,1,0,0
25,1,27,8,3,8,373,26,0,0,1,0,0,0,1
43,0,15,19,10,7,175,29,0,0,0,1,0,0,1
50,1,53,18,7,7,570,16,0,0,1,0,0,1,0
58,1,52,6,6,8,980,13,0,0,0,1,1,0,0
50,0,48,5,0,4,661,29,0,1,0,0,0,0,1
51,1,48,25,6,10,183,23,0,0,1,0,1,0,0
33,1,21,22,10,24,380,21,0,0,1,0,0,0,1
35,1,60,8,4,10,444,24,0,1,0,0,0,1,0
34,1,51,19,3,7,253,14,0,0,1,0,1,0,0
61,0,10,18,1,18,862,13,0,0,1,0,0,0,1
44,0,16,23,7,8,685,23,0,0,0,1,1,0,0
44,1,60,11,8,1,128,1,0,1,0,0,0,0,1
34,0,6,7,3,24,943,18,0,0,1,0,1,0,0
46,1,5,16,3,8,520,3,0,0,0,1,0,1,0
62,1,44,26,6,1,237,25,0,1,0,0,0,1,0
37,1,38,30,4,24,119,29,0,0,1,0,1,0,0
31,1,55,13,4,22,194,23,0,0,1,0,1,0,0
36,0,1,11,3,26,737,4,0,1,0,0,0,0,1
38,1,40,3,10,0,508,20,0,1,0,0,0,1,0
29,0,13,23,0,13,418,10,0,1,0,0,0,0,1
48,1,27,7,4,18,442,11,0,0,0,1,1,0,0
18,1,48,25,7,14,302,13,0,0,1,0,0,1,0
34,1,3,17,8,2,918,3,0,0,0,1,0,1,0
65,0,9,24,8,20,729,27,0,0,1,0,0,1,0
49,1,1,28,5,17,946,3,0,0,1,0,0,0,1
56,1,8,8,9,27,520,1,0,0,1,0,0,1,0
39,1,7,1,0,27,734,14,0,1,0,0,0,1,0
65,1,10,21,3,18,396,30,0,0,0,1,1,0,0
53,1,52,10,0,0,974,8,0,1,0,0,1,0,0
26,0,18,22,2,26,696,12,0,0,0,1,1,0,0
61,0,54,24,3,26,724,28,0,1,0,0,1,0,0
63,0,24,13,1,6,141,3,0,1,0,0,0,1,0
32,0,3,13,9,29,629,6,0,0,1,0,0,0,1
32,1,3,5,0,30,238,27,0,0,1,0,0,1,0
26,1,37,11,0,21,598,25,0,0,1,0,0,1,0
23,1,14,26,10,25,699,16,0,0,1,0,0,1,0
53,0,56,27,3,18,668,16,0,1,0,0,0,1,0
43,0,35,11,3,13,620,13,0,0,1,0,1,0,0
35,0,46,25,3,1,644,27,0,0,0,1,0,0,1
36,0,4,18,2,18,312,18,0,1,0,0,0,0,1
47,1,10,23,1,21,781,4,0,1,0,0,0,1,0
36,0,44,13,10,9,349,3,0,0,0,1,0,0,1
27,0,52,25,1,20,269,22,0,0,1,0,0,0,1
59,0,4,15,9,2,148,5,0,1,0,0,0,0,1
63,0,1,21,6,20,135,21,0,1,0,0,0,0,1
27,0,55,7,8,4,203,10,0,1,0,0,0,0,1
52,1,44,11,6,4,700,2,0,1,0,0,0,1,0
26,1,34,28,4,14,337,11,0,0,1,0,0,0,1
31,0,35,20,0,4,929,13,0,0,0,1,1,0,0
28,1,60,27,10,11,726,4,0,0,1,0,0,0,1
44,1,1,23,0,1,791,12,0,1,0,0,0,0,1
19,1,4,22,10,15,984,25,0,0,1,0,1,0,0
58,0,9,23,10,7,145,28,0,0,0,1,0,1,0
26,1,15,26,0,8,910,24,0,0,0,1,0,1,0
24,1,51,6,7,5,207,11,0,0,0,1,0,0,1
44,1,15,12,5,9,328,19,0,1,0,0,1,0,0
63,0,25,6,6,7,732,19,0,0,0,1,0,0,1
27,0,2,10,5,29,504,20,0,0,0,1,0,0,1
31,1,9,4,6,17,521,11,0,0,0,1,0,1,0
47,0,7,16,6,6,800,30,0,0,0,1,0,0,1
35,1,30,30,7,1,350,8,0,0,0,1,0,0,1
35,1,6,30,9,26,444,5,0,1,0,0,1,0,0
24,1,57,28,4,16,255,3,0,0,0,1,0,1,0
60,1,34,20,0,25,238,8,0,1,0,0,0,0,1
47,1,21,13,9,15,950,25,0,0,1,0,0,1,0
63,1,48,16,9,6,704,3,0,0,1,0,0,1,0
40,1,13,7,5,12,974,29,0,0,0,1,1,0,0
49,0,30,29,8,3,728,26,0,0,0,1,0,0,1
40,0,22,6,4,12,619,10,0,0,1,0,1,0,0
62,0,59,3,0,9,227,30,0,1,0,0,1,0,0
24,0,40,29,0,18,380,13,0,1,0,0,1,0,0
43,1,42,18,3,7,670,21,0,0,1,0,0,1,0
39,1,2,11,4,24,802,27,0,1,0,0,1,0,0
38,1,20,6,6,5,255,13,0,0,1,0,1,0,0
28,1,57,29,1,21,758,4,0,0,1,0,0,1,0
54,1,18,4,1,22,272,29,0,1,0,0,0,1,0
41,0,45,19,6,1,260,13,0,1,0,0,0,0,1
34,0,25,23,6,0,576,22,0,1,0,0,0,0,1
46,0,28,1,6,13,761,13,0,1,0,0,1,0,0
44,0,13,16,9,2,804,30,0,1,0,0,0,0,1
54,1,3,16,7,25,655,22,0,0,1,0,0,0,1
37,0,14,24,2,8,860,25,0,0,1,0,0,1,0
64,0,40,6,5,7,240,3,0,0,1,0,0,0,1
56,1,21,19,4,29,720,23,0,0,0,1,0,1,0
63,0,39,12,2,8,393,7,0,0,0,1,0,1,0
46,1,50,13,8,11,953,11,0,1,0,0,0,0,1
55,1,4,13,1,27,272,27,0,0,1,0,1,0,0
39,1,52,6,1,1,928,7,0,1,0,0,0,0,1
30,0,19,26,4,16,910,27,0,0,1,0,0,0,1
36,1,3,21,5,9,882,30,0,0,1,0,0,0,1
55,0,10,9,9,22,929,13,0,0,0,1,0,0,1
63,1,3,26,1,20,457,5,0,0,0,1,0,1,0
34,1,42,12,0,12,208,6,0,0,1,0,0,0,1
34,0,1,11,3,10,589,8,0,0,0,1,1,0,0
29,0,35,6,2,18,268,26,0,0,1,0,0,1,0
32,1,44,26,2,1,852,16,0,0,1,0,0,1,0
39,1,11,22,5,1,571,29,0,0,1,0,0,0,1
33,0,3,20,6,6,823,29,0,1,0,0,1,0,0
38,1,44,4,0,22,870,10,0,0,1,0,1,0,0
56,0,8,6,7,4,247,7,0,1,0,0,0,0,1
30,1,36,12,5,10,135,20,0,0,1,0,0,1,0
51,1,47,22,10,11,458,29,0,0,1,0,0,0,1
56,0,32,13,2,25,974,16,0,0,1,0,0,0,1
41,0,48,3,5,0,452,18,0,0,0,1,0,0,1
55,1,60,23,4,23,178,20,0,1,0,0,1,0,0
26,0,7,11,8,19,127,9,0,1,0,0,0,0,1
36,0,39,27,0,20,861,12,0,0,0,1,1,0,0
39,1,16,14,8,2,537,7,0,0,0,1,0,1,0
22,0,13,1,10,8,564,4,0,0,0,1,0,0,1
25,1,17,1,7,12,331,14,0,1,0,0,0,1,0
20,0,44,24,7,12,993,16,0,0,0,1,0,1,0
64,1,36,24,3,25,992,16,0,0,0,1,0,1,0
29,0,48,17,5,9,672,1,0,1,0,0,0,1,0
32,1,21,15,6,23,819,25,0,0,0,1,1,0,0
59,1,55,13,7,5,534,5,0,0,1,0,0,1,0
38,0,58,7,9,9,498,4,0,0,1,0,1,0,0
38,1,2,4,0,8,418,9,0,1,0,0,0,1,0
53,1,35,10,0,9,873,20,0,1,0,0,1,0,0
36,0,57,12,0,28,855,26,0,0,1,0,0,0,1
62,0,27,1,2,3,862,3,0,1,0,0,0,0,1
48,1,10,22,2,0,918,9,0,0,1,0,0,1,0
42,0,37,17,4,20,857,7,0,0,0,1,0,0,1
31,1,15,13,4,6,623,20,0,0,1,0,1,0,0
29,0,58,20,2,3,967,30,0,0,0,1,0,0,1
35,1,3,30,4,13,428,29,0,1,0,0,1,0,0
29,0,4,16,5,2,796,26,0,0,0,1,0,0,1
51,1,11,14,6,26,765,17,0,1,0,0,0,1,0
45,1,10,25,4,23,182,16,0,0,1,0,0,1,0
58,1,14,17,3,26,716,2,0,0,1,0,1,0,0
37,1,58,26,3,25,205,22,0,1,0,0,1,0,0
18,0,9,30,3,13,765,13,0,0,0,1,0,0,1
29,0,35,17,2,12,631,15,0,0,0,1,0,0,1
61,1,6,14,6,28,210,11,0,0,1,0,0,0,1
35,1,3,7,2,21,617,25,0,0,0,1,1,0,0
28,0,19,18,8,29,583,8,0,0,0,1,0,0,1
21,1,1,25,10,4,799,10,0,0,1,0,1,0,0
62,0,27,25,2,5,390,27,0,0,1,0,0,0,1
19,0,41,12,0,27,555,8,0,1,0,0,0,0,1
34,1,22,24,3,7,218,30,0,0,1,0,0,0,1
35,0,4,12,8,30,738,28,0,1,0,0,1,0,0
22,1,23,13,10,17,893,25,0,0,0,1,1,0,0
38,0,8,11,6,7,399,29,0,0,1,0,1,0,0
35,1,46,23,6,4,765,7,0,1,0,0,1,0,0
60,1,24,11,4,13,908,10,0,0,0,1,1,0,0
59,1,47,15,10,0,309,5,0,0,1,0,0,1,0
18,0,47,19,2,8,183,7,0,0,1,0,0,1,0
43,0,3,8,7,11,824,28,0,0,0,1,1,0,0
41,1,50,14,1,8,912,15,0,0,0,1,0,1,0
42,0,19,12,2,14,933,6,0,0,1,0,0,1,0
64,0,6,16,5,18,902,20,0,1,0,0,1,0,0
30,1,16,18,5,18,831,15,0,0,1,0,0,0,1
18,1,39,11,8,10,569,16,0,1,0,0,1,0,0
48,0,1,1,0,9,759,30,0,0,0,1,0,1,0
27,1,20,6,5,2,722,19,0,0,1,0,1,0,0
55,0,47,2,1,23,681,25,0,1,0,0,1,0,0
36,1,26,6,2,29,939,11,0,1,0,0,0,1,0
55,1,2,24,1,23,312,6,0,0,0,1,0,1,0
64,0,8,17,8,5,819,20,0,0,1,0,0,1,0
57,1,57,26,0,0,591,14,0,1,0,0,0,1,0
31,1,60,24,4,12,494,3,0,1,0,0,1,0,0
50,0,21,26,10,27,960,7,0,1,0,0,1,0,0
22,0,27,1,2,14,825,23,0,1,0,0,0,1,0
62,1,16,4,1,30,380,2,0,1,0,0,1,0,0
27,0,7,23,4,3,819,9,0,0,1,0,0,1,0
21,0,57,19,8,2,613,27,0,0,1,0,0,1,0
53,1,29,11,2,1,354,15,0,0,1,0,0,0,1
41,1,16,21,0,9,751,24,0,0,1,0,0,0,1
41,1,59,29,6,9,795,19,0,1,0,0,0,1,0
33,1,53,26,2,19,837,10,0,0,0,1,0,0,1
23,1,60,25,7,4,415,3,0,0,1,0,1,0,0
36,1,55,13,2,1,834,12,0,0,1,0,0,0,1
54,0,29,25,5,12,882,28,0,0,0,1,1,0,0
32,0,19,6,7,17,515,17,0,0,0,1,0,1,0
47,1,23,4,9,24,494,16,0,0,0,1,1,0,0
45,0,41,6,0,1,963,24,0,0,0,1,1,0,0
21,1,10,14,4,11,836,8,0,0,1,0,0,0,1
36,1,53,19,7,1,849,15,0,0,1,0,0,1,0
55,0,9,17,6,10,322,22,0,0,0,1,0,1,0
53,0,3,19,7,22,644,9,0,0,0,1,1,0,0
46,0,58,24,9,9,247,14,0,0,0,1,0,0,1
60,1,51,12,9,9,866,26,0,1,0,0,0,0,1
42,1,32,3,7,5,961,15,0,1,0,0,1,0,0
39,0,48,20,7,10,551,1,0,0,0,1,1,0,0
24,1,39,8,0,5,450,21,0,1,0,0,0,0,1
55,0,39,2,0,1,869,17,0,0,1,0,0,0,1
58,1,26,16,5,13,587,2,0,1,0,0,0,0,1
64,0,32,8,3,16,306,10,0,1,0,0,1,0,0
46,1,43,24,7,12,327,10,0,0,0,1,0,1,0
38,1,21,28,5,15,335,19,0,0,1,0,0,1,0
54,1,32,17,0,23,382,27,0,1,0,0,0,0,1
35,1,2,17,6,9,558,20,0,0,1,0,0,1,0
25,1,55,24,3,19,411,6,0,0,1,0,0,1,0
52,1,10,12,8,25,533,24,0,1,0,0,0,0,1
22,0,46,20,0,5,371,1,0,0,1,0,1,0,0
28,1,13,25,0,1,592,27,0,1,0,0,1,0,0
44,0,17,11,5,0,706,19,0,0,1,0,1,0,0
43,0,46,29,7,15,791,4,0,0,0,1,0,1,0
20,0,30,29,0,9,171,19,0,1,0,0,0,1,0
24,1,50,29,0,27,127,21,0,0,0,1,1,0,0
24,0,8,23,10,16,459,13,0,1,0,0,0,1,0
33,1,52,21,1,21,647,21,0,0,0,1,0,0,1
58,0,13,11,5,30,948,17,0,0,0,1,0,0,1
32,1,50,30,6,0,368,8,0,1,0,0,1,0,0
54,1,24,7,9,9,244,10,0,1,0,0,1,0,0
26,1,43,9,0,20,862,17,0,1,0,0,0,0,1
25,1,41,16,8,7,636,3,0,1,0,0,0,1,0
30,0,32,5,1,3,732,1,0,1,0,0,0,0,1
22,0,44,10,6,15,400,10,0,1,0,0,1,0,0
20,1,33,18,5,11,764,22,0,0,0,1,0,0,1
47,1,15,16,0,9,752,4,0,1,0,0,0,0,1
35,0,15,20,6,29,641,8,0,0,1,0,0,0,1
57,0,9,7,1,27,980,6,0,0,0,1,1,0,0
33,1,13,30,0,28,607,18,0,0,1,0,0,0,1
18,1,22,17,7,6,882,17,0,0,1,0,0,1,0
55,1,30,30,6,0,697,26,0,0,1,0,0,1,0
47,0,3,27,3,19,881,7,0,0,0,1,0,1,0
46,1,45,7,2,30,590,25,0,0,0,1,0,0,1
23,1,7,30,1,16,210,21,0,0,1,0,0,0,1
36,1,4,14,3,15,303,26,0,1,0,0,1,0,0
29,0,47,3,5,14,838,9,0,0,1,0,0,1,0
37,1,23,19,1,12,948,2,0,0,1,0,0,0,1
45,0,20,19,2,16,716,26,0,1,0,0,1,0,0
62,1,33,19,10,9,424,22,0,1,0,0,1,0,0
27,1,46,27,2,9,107,19,0,1,0,0,0,0,1
46,1,23,25,3,8,676,28,0,0,0,1,1,0,0
46,0,34,5,10,14,639,7,0,0,1,0,1,0,0
29,0,35,30,5,1,539,27,0,0,1,0,0,1,0
62,0,55,10,10,2,313,16,0,1,0,0,1,0,0
59,1,29,14,6,9,932,13,0,1,0,0,0,1,0
57,0,58,9,4,13,638,7,0,1,0,0,0,1,0
38,0,18,19,6,1,760,4,0,0,0,1,0,1,0
42,1,31,7,3,23,247,14,0,1,0,0,1,0,0
38,1,6,8,9,1,521,25,0,0,0,1,1,0,0
63,0,26,18,4,20,712,30,0,1,0,0,0,0,1
30,0,47,28,4,2,992,11,0,0,1,0,1,0,0
27,1,12,20,6,10,286,19,0,0,1,0,0,1,0
40,1,18,17,8,19,546,20,0,0,0,1,0,0,1
51,0,11,8,7,3,649,20,0,1,0,0,0,1,0
61,0,26,29,3,11,976,15,0,0,0,1,0,1,0
61,1,40,6,1,6,291,20,0,1,0,0,1,0,0
35,1,44,5,10,4,778,5,0,0,1,0,0,1,0
65,1,52,26,7,0,133,12,0,0,1,0,0,1,0
63,1,6,14,4,10,939,8,0,0,1,0,0,0,1
26,0,38,16,2,1,231,8,0,0,1,0,0,1,0
24,1,20,19,2,17,611,10,0,1,0,0,1,0,0
28,1,7,30,1,5,882,17,0,0,0,1,0,0,1
27,0,43,26,2,14,532,1,0,1,0,0,0,1,0
30,1,47,26,0,25,519,30,0,1,0,0,1,0,0
42,0,50,6,5,4,171,23,0,1,0,0,1,0,0
50,1,1,6,1,22,238,1,0,0,0,1,1,0,0
29,0,32,7,10,10,930,11,0,0,1,0,0,0,1
25,0,29,9,4,18,985,13,0,0,1,0,1,0,0
52,0,35,16,2,12,731,24,0,1,0,0,0,1,0
56,0,19,29,1,6,218,29,0,0,0,1,0,0,1
60,1,16,28,0,19,806,13,0,0,0,1,0,1,0
23,1,40,18,6,7,546,13,0,0,0,1,1,0,0
36,0,18,5,9,14,762,21,0,1,0,0,0,1,0
51,1,25,20,5,0,357,13,0,0,0,1,1,0,0
34,1,32,5,2,3,156,11,0,0,1,0,1,0,0
30,0,17,29,1,1,820,3,0,0,0,1,0,0,1
33,0,5,13,4,7,919,20,0,1,0,0,0,1,0
30,0,13,3,0,9,608,4,0,0,1,0,0,1,0
27,1,24,24,2,15,974,9,0,1,0,0,0,0,1
43,1,11,16,2,24,159,3,0,1,0,0,0,1,0
40,0,10,13,9,22,736,18,0,0,0,1,0,0,1
30,1,24,26,6,0,918,25,0,0,1,0,0,1,0
32,1,27,1,5,14,282,1,0,0,1,0,0,1,0
51,0,3,9,7,24,956,13,0,0,1,0,1,0,0
63,1,39,18,3,3,267,20,0,0,0,1,0,1,0
61,1,30,19,3,2,900,27,0,0,0,1,1,0,0
26,1,22,19,9,9,321,14,0,0,1,0,0,0,1
54,0,55,12,10,2,251,17,0,1,0,0,0,1,0
32,1,52,2,10,14,680,24,0,0,1,0,1,0,0
54,0,57,28,2,10,454,22,0,0,1,0,1,0,0
33,1,16,24,5,23,756,3,0,1,0,0,1,0,0
47,1,43,19,4,4,543,15,0,1,0,0,0,1,0
62,1,1,25,9,5,902,11,0,0,0,1,1,0,0
21,1,1,7,5,21,134,29,0,1,0,0,1,0,0
50,1,12,5,0,28,984,7,0,0,0,1,1,0,0
63,1,8,11,9,27,195,25,0,1,0,0,0,0,1
56,0,35,23,1,29,670,21,0,0,1,0,1,0,0
30,1,14,3,10,25,481,11,0,1,0,0,0,0,1
33,0,33,6,6,8,413,12,0,1,0,0,0,1,0
